turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
ENERCON E 70 2300,0,,0,,2000,,18000,,56000,,127000,,240000,,400000,,626000,,892000,,1223000,,1590000,,1900000,,2080000,,2230000,,2300000,,2310000,,2310000,,2310000,,2310000,,2310000,,2310000,,2310000,,2310000,,2310000,,2310000,0,
ENERCON E 82 2000,0,,0,,3000,,25000,,82000,,174000,,321000,,532000,,815000,,1180000,,1580000,,1810000,,1980000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,0,
ENERCON E 82 2300,0,,0,,3000,,25000,,82000,,174000,,321000,,532000,,815000,,1180000,,1580000,,1890000,,2100000,,2250000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,0,
ENERCON E 82 3000,0,,0,,3000,,25000,,82000,,174000,,321000,,525000,,800000,,1135000,,1510000,,1880000,,2200000,,2480000,,2770000,,2850000,,2910000,,3000000,,3020000,,3020000,,3020000,,3020000,,3020000,,3020000,,3020000,,3020000,0,
ENERCON E 92 2300,0,,0,,3600,,29900,,98200,,208300,,384300,,637000,,975800,,1403600,,1817800,,2088700,,2237000,,2300000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,,2350000,0,
ENO 82,0,,0,,0,,5000,,50000,,139000,,280000,,477000,,766000,,1048000,,1347000,,1645000,,1943000,,2031000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,,2050000,0,
ENO 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISIA F 48,0,,0,,0,,0,,13000,,45400,,90200,,150100,,231200,,335800,,454800,,585200,,712800,,750000,,750000,,750000,,750000,,750000,,750000,,750000,,750000,0,0,,0,,0,,0,,0,,
FRISIA F 56,0,,0,,0,,0,,22900,,67100,,121900,,213700,,326700,,466100,,629600,,831900,,850000,,850000,,850000,,850000,,850000,,850000,,850000,,850000,,850000,0,0,,0,,0,,0,,0,,
FUHRLÄNDER FL 100 2500,0,0,0,0,0,0,0,32690,75090,159890,239400,345410,472600,594520,727030,933750,1140000,1390000,1650000,1930000,2180000,2330000,2470000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
